row ID,row m/z,row retention time,S01_B14_H2O_POS.mzML area,S02_B14_H2O_POS.mzML area,S03_D14_H2O_POS.mzML area,S04_D14_H2O_POS.mzML area,S20_B28_H2O_POS.mzML area,S21_B28_H2O_POS.mzML area,S22_B28_H2O_POS.mzML area,S23_D28_H2O_POS.mzML area,S24_D28_H2O_POS.mzML area,S25_D28_H2O_POS.mzML area,S07_B14_JN2_POS.mzML area,S08_B14_JN2_POS.mzML area,S09_B14_JN2_POS.mzML area,S10_D14_JN2_POS.mzML area,S11_D14_JN2_POS.mzML area,S12_D14_JN2_POS.mzML area,S26_B28_JN2_POS.mzML area,S27_B28_JN2_POS.mzML area,S28_B28_JN2_POS.mzML area,S29_D28_JN2_POS.mzML area,S30_D28_JN2_POS.mzML area,S31_D28_JN2_POS.mzML area,S05_Dn14_H2O_POS.mzML area,S06_Dn14_H2O_POS.mzML area,PM04_POS.mzML area,PM05_POS.mzML area,,,,,,,,,,,,,,,,,,,,,,,,,,
833,208.972,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,154.042,0.94,,,,,,,,,,,,,,,,,,,,,,,,280000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,156.066,1.49,,,,,550000,340000,,,,,,,,,,,220000,240000,280000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,316.086,1.09,,,,,,,,,780000,,520000,,,,,,,,290000,170000,310000,180000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,354.071,0.94,180000,250000,120000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,299.092,0.94,970000,1400000,,,,,,,,,,,,1500000,,980000,,,,,,,1500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,311.135,0.94,,,,130000,,,190000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,288.105,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,221.186,0.95,,,,,,,,,,,4300000,3200000,960000,,1600000,650000,2000000,,,1700000,,1400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,202.082,1.08,,,,,,,,,,,,,260000,110000,130000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,405.052,0.94,,,,,,,63000,220000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,191.103,0.94,,,630000,280000,,,,,,,4400000,4700000,2900000,5500000,6200000,2300000,1800000,,3300000,2600000,,1100000,,700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,209.031,0.94,,,,,,,,170000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,472.165,0.96,,,,,,110000,,,,260000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,230.575,0.94,,,340000,,150000,,,,,,,,,,,,,,,,,,220000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,121.063,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,168.049,0.94,,270000,,,,,,,,,200000,,,250000,190000,170000,,,96000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,207.014,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,378.116,0.94,,,,,,,120000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,204.044,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,248.114,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,478.11,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,148.07,0.95,620000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,260.115,0.95,300000,,600000,290000,600000,,760000,,1100000,910000,,,,,,,,,,,940000,650000,,740000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,278.069,0.95,,,,,2400000,,,,1600000,1100000,,,,,,,,,590000,,550000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,333.069,0.95,,,,,490000,,260000,,,,,370000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,471.184,0.95,,,,,,,150000,,,150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,270.1,0.95,,,,,,,,,,,,,,,,,84000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,383.102,0.95,,,,86000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,163.564,0.95,84000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,299.062,0.95,,,,290000,,,,270000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,152.051,0.95,,,,,,,,,,,,180000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,220.118,1.32,,,,,95000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,306.059,0.95,,,,,,310000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,147.076,0.9,100000000,78000000,120000000,91000000,5700000,31000000,33000000,54000000,66000000,66000000,50000000,75000000,72000000,97000000,97000000,84000000,51000000,66000000,62000000,71000000,83000000,31000000,85000000,120000000,,190000,,,,,,,,,,,,,,,,,,,,,,,,,,
895,283.087,0.95,,,,480000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,280.092,0.95,1700000,1900000,4700000,830000,4200000,4300000,2600000,2100000,5700000,3000000,290000,,,,220000,170000,980000,680000,720000,1100000,2500000,4300000,2400000,3900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,222.029,0.95,190000,,,,430000,,200000,,,,,,,,110000,,,370000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,191.991,0.95,,,,84000,,380000,,,130000,,420000,,,,,,,,,,,180000,,160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,186.017,0.95,,,,,,,,,,,210000,,,,,,,,,,,300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,203.114,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,158.129,0.95,,,,,,,,,,,440000,330000,,230000,,,620000,280000,650000,450000,250000,390000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,264.107,0.95,480000,630000,630000,1500000,3400000,2400000,3600000,600000,2200000,1100000,1300000,1600000,380000,530000,380000,860000,560000,980000,800000,690000,830000,820000,,340000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,296.066,0.95,1900000,3800000,6100000,1900000,16000000,14000000,11000000,2600000,12000000,5500000,840000,,,1200000,790000,480000,4100000,3200000,2400000,2700000,6700000,11000000,2900000,5300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,304.1,0.95,,,,,490000,240000,230000,,250000,,,,,,,,,,,,,150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,139.531,0.95,500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,290.076,0.95,1800000,,,860000,,130000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,298.063,0.95,180000,,,310000,1300000,1000000,830000,320000,980000,370000,,,,,,,,250000,,,490000,740000,170000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,160.044,0.95,160000,85000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,300.06,0.95,,,,90000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,184.144,0.95,,,,,,,,,,,,,170000,240000,300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,212.569,0.95,,,150000,,,,,,,,,,,,,,,,,,,,140000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,168.033,0.95,,420000,,160000,,,,,140000,,,,,,,,,,,,95000,,280000,260000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,194.071,0.95,,,,,,,,,,,,,,,,,,,230000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,354.043,0.95,,,,,1200000,,,,350000,,,,,,,,,,,,,190000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,258.089,0.95,,,,,,,230000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,152.071,0.96,170000,,,,98000,,96000,,,,,,,,84000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,82.538,0.64,53000000,64000000,60000000,46000000,38000000,33000000,12000000,17000000,23000000,20000000,55000000,53000000,30000000,55000000,37000000,30000000,33000000,20000000,30000000,27000000,17000000,28000000,60000000,72000000,,290000,,,,,,,,,,,,,,,,,,,,,,,,,,
930,180.069,0.96,480000,,,570000,340000,380000,110000,400000,680000,850000,620000,590000,,,,410000,,370000,290000,340000,710000,300000,,520000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,220.558,0.96,,150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,303.068,0.96,,,,,,,,,260000,,,,,,,,,,,,,,,1800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,282.087,0.96,2200000,,,2600000,,720000,220000,250000,450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937,495.076,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,246.098,0.96,,,,,,,260000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,190.013,0.96,,,,,,,,,,,,480000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,258.081,0.96,,,,,,,310000,,,,,,,,,,,,,,390000,,,320000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
942,281.096,0.96,,,340000,,,,,,,,,,,,,,,,,,,,,310000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,192.999,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947,198.087,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,316.053,0.96,,260000,,,160000,170000,,260000,,330000,,,,170000,,,220000,160000,210000,,97000,180000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,296.134,0.96,,,,,300000,,,,,,83000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954,250.048,0.96,96000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,158.041,0.96,,,,,,,,,,,210000,,96000,210000,140000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,287.097,0.96,,,,,2700000,,,,,,,,,,,,,,,,,1500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962,305.031,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
963,148.061,0.93,140000000,140000000,140000000,12000000,42000000,71000000,68000000,87000000,100000000,110000000,100000000,100000000,120000000,170000000,160000000,140000000,120000000,4400000,130000000,140000000,130000000,110000000,160000000,150000000,,570000,,,,,,,,,,,,,,,,,,,,,,,,,,
964,268.09,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966,352.046,0.96,,620000,,820000,11000000,5700000,5300000,,3500000,1200000,,2300000,190000,600000,,,1800000,,1100000,710000,1200000,1600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,296.08,0.96,,1000000,840000,1800000,5800000,4200000,5700000,790000,3200000,,2700000,3300000,860000,1100000,870000,1600000,,2000000,1400000,860000,1400000,1200000,190000,570000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972,125,0.96,,,,,,,170000,,,180000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,284.123,0.96,,,,,380000,250000,400000,,170000,140000,140000,170000,,,,,,92000,,,,94000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,308.074,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,258.138,0.96,,,270000,,,,270000,,,,,,,,,,,,,,,,,330000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,320.074,0.96,,,,,1400000,750000,890000,,470000,120000,350000,390000,,,,,,140000,160000,,,310000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,363.113,0.97,,,,490000,,,,,,,,,,,,,,,,,,,,250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,304.15,0.97,,,,,,,,,,,,,,,300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,187.108,0.97,,200000,,,,,130000,,,,460000,1200000,,,330000,190000,310000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,242.078,0.97,190000,,,,,,,,,,,,,,,,400000,,330000,,,,660000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,336.073,0.97,,,,,3100000,2000000,,,1800000,790000,,,,230000,,,620000,,440000,370000,520000,820000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,141.051,0.65,6000000,7300000,7000000,5300000,4100000,4200000,1600000,2100000,3000000,,6700000,6100000,3700000,5700000,4500000,3500000,3800000,2700000,3800000,3500000,2400000,3200000,7500000,8000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,263.074,0.97,180000,230000,,,,,110000,,,,,,,,,,160000,,140000,,,230000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,282.119,0.95,2500000,3300000,3700000,7600000,19000000,14000000,21000000,3500000,12000000,7300000,7900000,11000000,2100000,3100000,2200000,4900000,3700000,5700000,4900000,4600000,4700000,5300000,660000,2300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
995,232.041,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,249.047,0.97,600000,,310000,,,,,,,,,,,,,,,,,,,,,430000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,165.076,0.97,,,,,,,,,,,1100000,1800000,1500000,1500000,1800000,880000,,280000,1400000,870000,200000,95000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,138.055,0.97,930000,,190000,82000,,,340000,,,,1500000,1700000,580000,1100000,890000,850000,1200000,,,850000,,,100000,140000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,129.066,0.88,2800000,,1900000,1700000,,710000,1200000,1100000,1700000,2200000,1500000,2200000,2600000,3300000,4000000,2300000,1900000,2900000,2600000,2500000,3700000,1200000,1200000,1700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,200.044,0.97,1300000,1200000,380000,460000,,,,,,,,,,,,,,,,,,,790000,280000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,366.062,0.97,,,,,440000,120000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,309.059,0.97,,,,,,,,,,,,,,,,,280000,,150000,130000,,160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,314.09,0.97,6200000,8900000,10000000,9900000,33000000,26000000,34000000,4700000,20000000,17000000,17000000,19000000,4400000,10000000,,8800000,12000000,13000000,11000000,7200000,11000000,10000000,3200000,7900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,444.173,0.97,,,,,,,,,,300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,328.106,0.97,,240000,310000,640000,2800000,1300000,2400000,,1300000,1200000,520000,1400000,,,,300000,,,,,,320000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,198.053,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,140.068,0.97,,,,,,,,,,,820000,,,720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,290.064,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,131.542,0.97,520000,,290000,340000,,,,,,,,,,,,,,,,,,,,280000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,161.038,0.97,,,,,,,,,,,,,,120000,,,95000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,153.076,0.97,,,,,,,,,,,420000,760000,380000,,1600000,870000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,205.068,0.97,,,,,,,,,,,4000000,3900000,1200000,3100000,2000000,1000000,1100000,380000,3300000,3100000,550000,740000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,273.121,0.97,,,,,,,,,,,,360000,,,370000,,350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,179.082,0.97,,,,,,,,,,,,,,,,,220000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,416.062,0.97,,,,,,,,,,,,,,,,,,,,150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,230.049,0.97,,,,140000,,360000,470000,,280000,,210000,,,,,,,,110000,,,94000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,476.162,0.96,730000,,560000,560000,520000,,,700000,510000,,,,,410000,460000,440000,320000,,,,770000,,,530000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,183.087,0.97,,,,,,,,,,,1800000,3600000,2900000,2800000,3500000,1600000,700000,550000,2700000,1900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,193.055,0.97,210000,,140000,180000,,,,,,,,,,,,,,,,,,,,190000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,235.165,0.97,,,,,,,,,,,,10000000,,,12000000,6800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,191.032,0.97,,,,,,,,,,,330000,300000,,520000,580000,290000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,281.07,0.98,,260000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,311.118,0.98,,,,,,,,,,,,,,210000,,,,,400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,122.537,0.98,300000,,,,,,,,,,,,,,,,,,,,,,,190000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,278.07,0.98,,,,680000,,1800000,2700000,,,,,,,370000,,,600000,740000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,486.065,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,202.071,0.98,110000,,,,390000,370000,320000,,,240000,,,,,,,260000,240000,190000,,180000,220000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,414.046,0.98,760000,430000,400000,1100000,,,660000,1300000,,,,,260000,,,280000,,610000,330000,,530000,220000,240000,320000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,455.115,0.98,,,,,,1900000,970000,,,730000,310000,380000,,210000,,,750000,,,,1200000,1300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,260.053,0.98,480000,800000,460000,470000,,310000,,,270000,,,,,,,,290000,130000,210000,250000,190000,,430000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,116.071,0.96,13000000,17000000,23000000,22000000,10000000,10000000,7300000,23000000,31000000,62000000,21000000,37000000,9200000,25000000,19000000,21000000,29000000,24000000,18000000,46000000,55000000,53000000,18000000,31000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,166.05,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,152.056,0.98,240000,,210000,,68000,,,,,,390000,4900000,,94000,330000,180000,240000,56000,,94000,,,,250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,354.045,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1086,156.042,1.01,760000,650000,490000,1600000,,280000,660000,520000,780000,160000,3500000,3300000,2000000,3200000,2900000,1400000,2900000,330000,2900000,600000,,1600000,200000,360000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,81.521,0.64,40000000,43000000,23000000,15000000,15000000,7100000,910000,520000,900000,,9600000,14000000,8900000,9800000,10000000,5800000,2000000,1400000,3300000,1800000,,1000000,42000000,17000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,188.035,0.98,,,,,,84000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,490.177,0.96,,,850000,,,550000,,,220000,,,,,,,,,270000,,,340000,,,410000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,179.066,0.98,,,,,,,,,,,140000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,183.05,0.98,720000,810000,200000,,,,,,,,,,,,,,,,,,,,450000,690000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,146.165,0.61,30000000,46000000,25000000,17000000,3400000,3500000,,330000,660000,,13000000,13000000,6200000,21000000,7000000,3900000,,,2300000,1100000,,,25000000,43000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,121.065,0.98,1300000,1300000,970000,780000,,,,,,,,150000,,,180000,190000,,,,,,,1100000,1200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,198.097,0.98,240000,220000,230000,400000,440000,560000,610000,510000,400000,420000,,190000,,,160000,280000,270000,360000,320000,,350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,203.223,0.68,,790000,,150000,,,,,,,,,,,,,,,,,,,510000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,456.055,0.98,,,,,,,,140000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,220.082,0.99,150000,180000,,,810000,180000,160000,190000,400000,540000,170000,450000,,,,,260000,240000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,418.078,0.99,,,,,,,,,,,,,600000,210000,,,,,430000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,707.22,1.01,300000,,,,460000,560000,,,510000,820000,360000,,110000,,140000,,,,,380000,,500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,136.049,0.99,,,,,,,,,,,,,,,,,,,,,,,240000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,222.02,0.98,,,,,,,,,,,15000000,15000000,6300000,15000000,13000000,8500000,9300000,4700000,9500000,6800000,2700000,5600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,290.057,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,105.111,1.14,830000,640000,,,,,,,,,,1600000,1200000,1200000,300000,1100000,,,,,,,,550000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,118.075,0.99,,,,,,,,,,,,,,,,,,,,,1.90E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,161.03,0.74,,,,200000,,140000,,110000,,,,,,,,,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,191.972,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,238.014,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,294.003,0.96,370000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,342.123,0.99,,,,,,,140000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144,723.192,0.99,,,,,220000,,,,,250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,224.017,0.99,,,,,,,,,,,1500000,1500000,640000,1300000,1300000,,990000,480000,920000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,175.058,0.99,,,,,,,,,,,960000,850000,320000,1400000,1300000,900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,244.08,0.99,310000,390000,440000,,150000,140000,,95000,140000,,110000,,,,,,92000,,,,,180000,290000,290000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,143.05,0.99,860000,250000,470000,600000,,,,,,,,120000,,,,120000,,,,,,,640000,590000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,229.074,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,206.055,0.99,130000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,439.142,0.99,,,310000,,,780000,310000,,,,,160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,434.186,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,296.02,0.99,,,,,,,,,,,,,,,,220000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,386.05,0.99,,,,,,,,,,,,,,,,220000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159,476.164,0.99,,,,,,,,,,1200000,,,,,,,69000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,257.148,0.99,,,,,,,,,,,,330000,,270000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,221.025,0.99,,,,,1200000,720000,580000,,520000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1166,223.04,0.99,,,,,,,,,,,,,,,,,,,210000,130000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,142.035,0.98,880000,890000,570000,320000,,,,,,,320000,,,,170000,,,,,,,,760000,760000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,274.141,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,93.055,0.99,,130000,,,,,,,,160000,,250000,,210000,210000,,170000,120000,150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,542.144,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,362.098,1,1000000,1100000,,,,,,,,,,,,,,,,,,,,,930000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,144.993,1.46,440000,1300000,1300000,190000,1200000,500000,270000,,360000,,760000,870000,110000,820000,350000,,280000,160000,300000,81000,,870000,550000,990000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
